months,total_confirmed,total_recovered,total_death,total_tested
1,330884435,320483125,4761941,6428006494
2,308751661,300294177,4385636,6440823151
3,365371143,348243641,4983713,7917343239
4,496323749,417590250,5716738,9018663538
5,837662248,737681495,9475471,11331087728
6,907119770,878999993,11812255,12908929500
7,972876486,947461651,13014835,15205392929
8,1009011996,983959875,13514849,17055538067
9,1008594389,985247706,13398450,18084367508
10,1060137372,1040567627,14108475,20000602285
