state_code,district,population,tested,deaths,TR,category
UP,Lalitpur,1218002,21781,128,0.02,F
UP,Lucknow,4588455,1237583,2651,0.27,B
UP,Maharajganj,2665292,334716,140,0.13,B
UP,Mahoba,876055,142992,86,0.16,B
UP,Mainpuri,1847194,228496,182,0.12,B
UP,Mathura,2541894,198379,402,0.08,A
UP,Mau,2205170,281445,80,0.13,B
UP,Meerut,3447405,798404,898,0.23,B
UP,Mirzapur,2494533,312764,116,0.13,B
UP,Moradabad,4773138,400459,349,0.08,A
UP,Muzaffarnagar,4138605,161704,269,0.04,F
UP,Pilibhit,2037225,291538,193,0.14,B
UP,Pratapgarh,868231,52208,63,0.06,A
UP,Prayagraj,5959798,729300,1088,0.12,B
UP,Rae Bareli,3404004,387408,343,0.11,B
UP,Rampur,2335398,274288,148,0.12,B
UP,Saharanpur,3464228,266387,420,0.08,A
UP,Sambhal,2217020,309333,106,0.14,B
UP,Sant Kabir Nagar,1714300,292606,98,0.17,B
UP,Shahjahanpur,3002376,437195,444,0.15,B
UP,Shamli,1274815,246597,45,0.19,B
UP,Shrawasti,1114615,221566,35,0.2,B
UP,Siddharthnagar,2553526,295047,100,0.12,B
UP,Sitapur,4474446,289473,185,0.06,A
UP,Sonbhadra,1862612,306175,251,0.16,B
UP,Sultanpur,3790922,309395,138,0.08,A
UP,Unnao,3110595,298886,254,0.1,B
UP,Varanasi,3682194,595510,971,0.16,B
