Date,Case,Total_cases,,,,,,,,,,,,,,
21-04-2020,confirmed,1537,,,,,,,,,,,,,,
21-04-2020,confirmed,8596,,,,,,,,,,,,,,
21-04-2020,recovered,2611,,,,,,,,,,,,,,
21-04-2020,tested,271532,,,,,,,,,,,,,,
21-04-2020,confirmed,20081,,,,,,,,,,,,,,
21-04-2020,recovered,3976,,,,,,,,,,,,,,
21-04-2020,tested,507168,,,,,,,,,,,,,,
22-04-2020,confirmed,1292,,,,,,,,,,,,,,
22-04-2020,confirmed,9002,,,,,,,,,,,,,,
22-04-2020,recovered,2861,,,,,,,,,,,,,,
22-04-2020,tested,290195,,,,,,,,,,,,,,
22-04-2020,confirmed,21373,,,,,,,,,,,,,,
22-04-2020,recovered,4370,,,,,,,,,,,,,,
22-04-2020,tested,554217,,,,,,,,,,,,,,
23-04-2020,confirmed,1667,,,,,,,,,,,,,,
23-04-2020,confirmed,9608,,,,,,,,,,,,,,
23-04-2020,tested,299053,,,,,,,,,,,,,,
23-04-2020,confirmed,23040,,,,,,,,,,,,,,
23-04-2020,recovered,5012,,,,,,,,,,,,,,
23-04-2020,tested,601852,,,,,,,,,,,,,,
24-04-2020,confirmed,1408,,,,,,,,,,,,,,
24-04-2020,tested,58409,,,,,,,,,,,,,,
24-04-2020,confirmed,10094,,,,,,,,,,,,,,
24-04-2020,tested,324651,,,,,,,,,,,,,,
24-04-2020,confirmed,24448,,,,,,,,,,,,,,
24-04-2020,recovered,5496,,,,,,,,,,,,,,
24-04-2020,tested,660261,,,,,,,,,,,,,,
25-04-2020,confirmed,1835,,,,,,,,,,,,,,
25-04-2020,confirmed,10558,,,,,,,,,,,,,,
25-04-2020,tested,343293,,,,,,,,,,,,,,
25-04-2020,confirmed,26283,,,,,,,,,,,,,,
25-04-2020,recovered,5938,,,,,,,,,,,,,,
25-04-2020,tested,710600,,,,,,,,,,,,,,
26-04-2020,confirmed,10585,,,,,,,,,,,,,,
26-04-2020,tested,332250,,,,,,,,,,,,,,
26-04-2020,confirmed,27890,,,,,,,,,,,,,,
26-04-2020,recovered,6523,,,,,,,,,,,,,,
